lot_id,wafer_num,defect_type,defect_count,location_x_mm,location_y_mm,severity_1_to_5,suspected_cause,correlated_parameter
LOT_2401_001,1,NONE,0,0,0,0,NONE,NONE
LOT_2401_001,2,NONE,0,0,0,0,NONE,NONE
LOT_2401_001,3,LINE_ROUGHNESS,2,8.5,12.3,2,NORMAL,NONE
LOT_2401_001,4,NONE,0,0,0,0,NONE,NONE
LOT_2401_001,5,NONE,0,0,0,0,NONE,NONE
LOT_2401_002,1,NONE,0,0,0,0,NONE,NONE
LOT_2401_002,2,PARTICLE_CONTAMINATION,3,6.2,9.8,2,HANDLING,NONE
LOT_2401_002,3,LINE_ROUGHNESS,4,10.1,11.5,2,MINOR_DRIFT,humidity_high
LOT_2401_002,4,NONE,0,0,0,0,NONE,NONE
LOT_2401_002,5,PARTICLE_CONTAMINATION,2,7.3,14.2,2,HANDLING,NONE
LOT_2401_005,1,GATE_DIELECTRIC_THIN,12,4.5,8.9,4,ETCH_RATE_HIGH,etch_rate_high
LOT_2401_005,2,CRITICAL_DIMENSION_SHIFT,15,5.1,9.2,4,TEMPERATURE_DRIFT,chamber_temp_low
LOT_2401_005,3,METAL_VOID,18,6.8,10.5,5,PRESSURE_VARIATION,pressure_low
LOT_2401_005,4,GATE_DIELECTRIC_THIN,14,3.9,7.6,4,ETCH_RATE_HIGH,etch_rate_high
LOT_2401_005,5,CRITICAL_DIMENSION_SHIFT,16,5.5,11.2,4,TEMPERATURE_DRIFT,chamber_temp_low
LOT_2401_009,1,METAL_VOID,22,8.2,6.5,5,PRESSURE_HIGH,pressure_high
LOT_2401_009,2,CRITICAL_DIMENSION_SHIFT,19,5.0,10.2,4,TEMPERATURE_DRIFT,chamber_temp_high
LOT_2401_009,3,GATE_DIELECTRIC_THIN,20,4.2,8.8,5,ETCH_RATE_HIGH,etch_rate_high
LOT_2401_009,4,METAL_VOID,24,9.1,7.2,5,PRESSURE_HIGH,pressure_high
LOT_2401_009,5,CRITICAL_DIMENSION_SHIFT,21,6.3,11.5,4,TEMPERATURE_DRIFT,chamber_temp_high
LOT_2401_012,1,METAL_VOID,25,8.5,6.2,5,PRESSURE_HIGH,pressure_high
LOT_2401_012,2,CRITICAL_DIMENSION_SHIFT,23,5.2,10.5,5,TEMPERATURE_DRIFT,chamber_temp_low
LOT_2401_012,3,GATE_DIELECTRIC_THIN,21,4.0,8.5,5,ETCH_RATE_HIGH,etch_rate_high
LOT_2401_012,4,METAL_VOID,26,9.0,6.8,5,PRESSURE_HIGH,pressure_high
LOT_2401_012,5,CRITICAL_DIMENSION_SHIFT,22,5.8,11.2,5,TEMPERATURE_DRIFT,chamber_temp_low
LOT_2401_015,1,CRITICAL_DIMENSION_SHIFT,8,5.5,10.0,3,SLOW_DRIFT,chamber_temp_drift
LOT_2401_015,2,METAL_VOID,6,8.0,7.0,2,PRESSURE_VARIATION,pressure_drift
LOT_2401_015,3,NONE,0,0,0,0,NONE,NONE
LOT_2401_015,4,CRITICAL_DIMENSION_SHIFT,7,5.2,9.8,3,SLOW_DRIFT,chamber_temp_drift
LOT_2401_015,5,GATE_DIELECTRIC_THIN,5,4.5,8.2,2,MINOR_ETCH,etch_rate_slight
LOT_2401_018,1,METAL_VOID,28,8.8,6.0,5,PRESSURE_SUSTAINED_HIGH,pressure_high
LOT_2401_018,2,CRITICAL_DIMENSION_SHIFT,26,5.3,10.8,5,TEMPERATURE_LOW,chamber_temp_low
LOT_2401_018,3,GATE_DIELECTRIC_THIN,24,4.1,8.6,5,ETCH_RATE_SUSTAINED_HIGH,etch_rate_high
LOT_2401_018,4,METAL_VOID,29,9.2,6.5,5,PRESSURE_SUSTAINED_HIGH,pressure_high
LOT_2401_018,5,CRITICAL_DIMENSION_SHIFT,27,6.0,11.5,5,TEMPERATURE_LOW,chamber_temp_low
LOT_2401_010,1,NONE,0,0,0,0,NONE,NONE
LOT_2401_010,2,LINE_ROUGHNESS,1,8.2,12.0,1,NORMAL,NONE
LOT_2401_010,3,NONE,0,0,0,0,NONE,NONE
LOT_2401_010,4,NONE,0,0,0,0,NONE,NONE
LOT_2401_010,5,LINE_ROUGHNESS,1,8.5,11.8,1,NORMAL,NONE
LOT_2402_001,1,NONE,0,0,0,0,NONE,NONE
LOT_2402_001,2,LINE_ROUGHNESS,1,8.1,12.2,1,NORMAL,NONE
LOT_2402_001,3,NONE,0,0,0,0,NONE,NONE
LOT_2402_001,4,NONE,0,0,0,0,NONE,NONE
LOT_2402_001,5,LINE_ROUGHNESS,2,8.3,11.9,1,NORMAL,NONE
LOT_2402_002,1,NONE,0,0,0,0,NONE,NONE
LOT_2402_002,2,LINE_ROUGHNESS,1,8.0,12.3,1,NORMAL,NONE
LOT_2402_002,3,NONE,0,0,0,0,NONE,NONE
LOT_2402_002,4,NONE,0,0,0,0,NONE,NONE
LOT_2402_002,5,PARTICLE_CONTAMINATION,1,7.5,14.0,1,HANDLING,NONE
