lot_id,recipe_name,recipe_version,target_temp_C,target_pressure_pa,target_flow_sccm,target_power_w,etch_time_sec,cleaning_step_sec,cooldown_time_sec,chemical_concentration_ppm
LOT_2401_001,Recipe_3nm_V2.1,2.1,301.0,134.2,85.0,451.0,720,120,180,450
LOT_2401_002,Recipe_3nm_V2.1,2.1,301.0,134.2,85.0,451.0,720,120,180,450
LOT_2401_003,Recipe_3nm_V2.1,2.1,301.0,134.2,85.0,451.0,720,120,180,450
LOT_2401_004,Recipe_5nm_V1.8,1.8,298.0,132.0,86.0,448.0,840,140,200,425
LOT_2401_005,Recipe_3nm_V2.1,2.1,301.0,134.2,85.0,451.0,720,120,180,450
LOT_2401_006,Recipe_5nm_V1.8,1.8,298.0,132.0,86.0,448.0,840,140,200,425
LOT_2401_007,Recipe_3nm_V2.1,2.1,301.0,134.2,85.0,451.0,720,120,180,450
LOT_2401_008,Recipe_5nm_V1.8,1.8,298.0,132.0,86.0,448.0,840,140,200,425
LOT_2401_009,Recipe_5nm_V1.8,1.8,298.0,132.0,86.0,448.0,840,140,200,425
LOT_2401_010,Recipe_3nm_V2.1,2.1,301.0,134.2,85.0,451.0,720,120,180,450
LOT_2401_011,Recipe_3nm_V2.1,2.1,301.0,134.2,85.0,451.0,720,120,180,450
LOT_2401_012,Recipe_5nm_V1.8,1.8,298.0,132.0,86.0,448.0,840,140,200,425
LOT_2401_013,Recipe_5nm_V1.8,1.8,298.0,132.0,86.0,448.0,840,140,200,425
LOT_2401_014,Recipe_3nm_V2.1,2.1,301.0,134.2,85.0,451.0,720,120,180,450
LOT_2401_015,Recipe_3nm_V2.1,2.1,301.0,134.2,85.0,451.0,720,120,180,450
LOT_2401_016,Recipe_3nm_V2.1,2.1,301.0,134.2,85.0,451.0,720,120,180,450
LOT_2401_017,Recipe_5nm_V1.8,1.8,298.0,132.0,86.0,448.0,840,140,200,425
LOT_2401_018,Recipe_5nm_V1.8,1.8,298.0,132.0,86.0,448.0,840,140,200,425
LOT_2401_019,Recipe_5nm_V1.8,1.8,298.0,132.0,86.0,448.0,840,140,200,425
LOT_2401_020,Recipe_3nm_V2.1,2.1,301.0,134.2,85.0,451.0,720,120,180,450
LOT_2402_001,Recipe_3nm_V2.2,2.2,301.5,134.5,84.8,451.5,700,125,185,455
LOT_2402_002,Recipe_3nm_V2.2,2.2,301.5,134.5,84.8,451.5,700,125,185,455
LOT_2402_003,Recipe_3nm_V2.2,2.2,301.5,134.5,84.8,451.5,700,125,185,455
LOT_2402_004,Recipe_5nm_V1.9,1.9,298.5,132.5,85.8,449.0,820,145,205,430
LOT_2402_005,Recipe_5nm_V1.9,1.9,298.5,132.5,85.8,449.0,820,145,205,430
LOT_2402_006,Recipe_5nm_V1.9,1.9,298.5,132.5,85.8,449.0,820,145,205,430
LOT_2402_007,Recipe_3nm_V2.2,2.2,301.5,134.5,84.8,451.5,700,125,185,455
LOT_2402_008,Recipe_3nm_V2.2,2.2,301.5,134.5,84.8,451.5,700,125,185,455
LOT_2402_009,Recipe_3nm_V2.2,2.2,301.5,134.5,84.8,451.5,700,125,185,455
LOT_2402_010,Recipe_5nm_V1.9,1.9,298.5,132.5,85.8,449.0,820,145,205,430
