lot_id,equipment_id,timestamp_minutes,chamber_temp_C,pressure_pa,flow_rate_sccm,power_w,humidity_percent,etch_rate_nm_min,critical_dimension_nm
LOT_2401_001,EQPM_A,0,298.5,133.2,85.0,450.0,32.1,85.3,42.0
LOT_2401_001,EQPM_A,5,300.1,133.8,84.9,451.2,31.9,85.5,42.0
LOT_2401_001,EQPM_A,10,301.2,134.1,85.1,450.8,31.8,85.4,41.9
LOT_2401_001,EQPM_A,15,302.0,134.5,85.0,451.5,32.0,85.6,41.9
LOT_2401_001,EQPM_A,20,301.5,134.2,85.2,450.9,31.9,85.5,41.9
LOT_2401_002,EQPM_B,0,297.8,132.5,85.3,449.1,33.2,84.8,42.2
LOT_2401_002,EQPM_B,5,299.2,133.0,85.1,450.3,33.0,85.0,42.1
LOT_2401_002,EQPM_B,10,300.1,133.4,85.0,451.0,32.9,85.2,42.0
LOT_2401_002,EQPM_B,15,301.0,133.9,84.9,451.8,33.1,85.3,42.0
LOT_2401_002,EQPM_B,20,302.3,134.4,85.2,452.5,33.3,85.5,41.8
LOT_2401_005,EQPM_B,0,295.2,130.1,86.5,444.0,35.8,83.2,43.1
LOT_2401_005,EQPM_B,5,297.5,131.2,85.8,446.2,35.5,83.8,42.8
LOT_2401_005,EQPM_B,10,299.8,132.5,85.0,448.5,35.2,84.5,42.5
LOT_2401_005,EQPM_B,15,301.5,133.8,84.1,450.8,34.9,85.1,42.2
LOT_2401_005,EQPM_B,20,303.2,135.2,82.9,453.0,34.5,85.8,41.8
LOT_2401_009,EQPM_B,0,296.1,131.5,86.2,447.5,34.5,84.1,42.9
LOT_2401_009,EQPM_B,5,298.8,132.8,85.5,449.8,34.2,84.7,42.6
LOT_2401_009,EQPM_B,10,301.2,134.2,84.8,452.1,33.8,85.3,42.2
LOT_2401_009,EQPM_B,15,303.5,135.5,83.9,454.3,33.4,85.9,41.9
LOT_2401_009,EQPM_B,20,305.1,136.8,82.5,456.5,32.9,86.5,41.4
LOT_2401_012,EQPM_B,0,294.8,129.8,87.1,442.5,36.2,82.9,43.3
LOT_2401_012,EQPM_B,5,297.2,131.0,86.4,445.0,35.8,83.5,43.0
LOT_2401_012,EQPM_B,10,299.5,132.5,85.6,447.8,35.4,84.2,42.6
LOT_2401_012,EQPM_B,15,301.8,134.0,84.7,450.5,34.9,84.9,42.2
LOT_2401_012,EQPM_B,20,304.2,135.5,83.5,453.2,34.4,85.6,41.7
LOT_2401_015,EQPM_B,0,296.5,132.0,85.8,448.0,34.0,84.5,42.6
LOT_2401_015,EQPM_B,5,298.9,133.2,85.1,450.2,33.7,85.0,42.3
LOT_2401_015,EQPM_B,10,300.2,134.1,84.5,451.8,33.3,85.4,41.9
LOT_2401_015,EQPM_B,15,302.1,135.0,83.8,453.5,32.9,85.9,41.5
LOT_2401_015,EQPM_B,20,304.3,136.2,82.9,455.8,32.4,86.4,41.0
LOT_2401_018,EQPM_B,0,293.5,128.5,88.0,440.0,37.1,82.0,43.8
LOT_2401_018,EQPM_B,5,296.2,129.8,87.2,442.8,36.7,82.7,43.4
LOT_2401_018,EQPM_B,10,298.8,131.2,86.3,445.5,36.2,83.4,43.0
LOT_2401_018,EQPM_B,15,301.5,132.8,85.2,448.3,35.6,84.1,42.5
LOT_2401_018,EQPM_B,20,304.9,134.5,83.8,451.0,35.0,84.9,41.9
LOT_2401_010,EQPM_C,0,301.0,134.2,85.0,451.5,31.5,85.5,41.95
LOT_2401_010,EQPM_C,5,301.8,134.5,85.1,451.8,31.4,85.6,41.92
LOT_2401_010,EQPM_C,10,302.2,134.8,85.0,452.0,31.3,85.7,41.90
LOT_2401_010,EQPM_C,15,302.5,135.0,85.1,452.1,31.2,85.8,41.88
LOT_2401_010,EQPM_C,20,302.8,135.2,85.0,452.2,31.1,85.9,41.85
LOT_2402_001,EQPM_A_AFTER_MAINT,0,300.5,134.0,85.0,451.0,31.8,85.4,41.95
LOT_2402_001,EQPM_A_AFTER_MAINT,5,301.2,134.3,85.1,451.3,31.7,85.5,41.93
LOT_2402_001,EQPM_A_AFTER_MAINT,10,301.8,134.5,85.0,451.5,31.6,85.6,41.91
LOT_2402_001,EQPM_A_AFTER_MAINT,15,302.3,134.8,85.1,451.8,31.5,85.7,41.89
LOT_2402_001,EQPM_A_AFTER_MAINT,20,302.8,135.0,85.0,452.0,31.4,85.8,41.87
LOT_2402_002,EQPM_B_AFTER_MAINT,0,300.2,133.8,85.1,450.8,31.9,85.3,42.0
LOT_2402_002,EQPM_B_AFTER_MAINT,5,301.0,134.2,85.0,451.2,31.8,85.5,41.98
LOT_2402_002,EQPM_B_AFTER_MAINT,10,301.8,134.5,85.1,451.5,31.7,85.6,41.96
LOT_2402_002,EQPM_B_AFTER_MAINT,15,302.5,134.8,85.0,451.8,31.6,85.7,41.94
LOT_2402_002,EQPM_B_AFTER_MAINT,20,303.2,135.1,85.1,452.1,31.5,85.8,41.92
